43,C003,yak,2024-01-30 08:09:49.721358
33,C003,universe,2024-09-30 04:18:47.005486
3,B002,snake,2024-08-12 13:04:25.651809
93,B002,queen,2024-11-07 05:49:33.413630
59,B002,wind,2024-09-16 01:59:01.496498
45,A001,jewel,2024-07-17 01:44:19.759180
8,B002,river,2024-11-21 00:18:04.184696
13,A002,quiet,2024-01-24 19:54:21.691525
22,A001,flower,2024-07-14 13:33:40.858967
82,NONE,yarn,2024-09-18 08:33:39.916076
88,B001,notebook,2024-03-24 10:53:43.231504
42,C003,king,2024-02-03 14:49:37.604416
91,C003,mouse,2024-01-18 01:37:09.047854
86,A001,yak,2024-06-16 12:42:46.676858
56,B001,quiet,2024-02-17 09:37:00.730110
21,B001,xenon,2024-01-15 09:06:22.995328
40,B001,unicorn,2024-10-22 11:01:52.589866
98,NONE,hat,2024-10-01 11:11:42.273809
18,B002,mountain,2024-02-08 09:31:13.642616
37,A002,kangaroo,2024-12-09 03:13:51.395119
61,B001,zoo,2024-07-18 00:27:20.535662
41,NONE,queen,2024-11-26 12:16:11.640887
91,C003,jewel,2024-03-05 12:33:47.350141
86,B002,ship,2024-08-04 20:17:00.126835
77,B002,kangaroo,2024-02-16 07:26:35.601323
14,B002,zipper,2024-12-12 21:01:15.186502
30,B001,train,2024-02-01 21:51:49.217087
85,B001,ant,2024-04-09 02:13:16.536879
68,A001,tornado,2024-01-23 12:14:21.834130
86,A002,noodle,2024-01-29 21:28:42.830353
76,B001,mountain,2024-01-03 23:28:03.631496
67,C003,guitar,2024-08-05 04:08:20.043096
15,B002,eagle,2024-08-20 18:58:41.818117
65,A001,island,2024-10-05 05:36:59.994148
34,B002,flower,2024-10-08 16:43:29.527333
36,A002,airport,2024-08-21 01:01:44.104725
90,A001,kite,2024-08-09 15:37:42.629500
80,A002,yacht,2024-03-10 03:16:45.568231
19,B002,goat,2024-06-19 14:28:01.200112
44,A002,lamp,2024-03-22 11:39:39.794104
37,C003,flag,2024-06-11 18:43:41.209032
72,C003,penguin,2024-03-24 14:15:11.863527
85,B001,lion,2024-04-04 00:25:37.210360
83,NONE,bicycle,2024-03-05 16:50:54.719944
23,A001,elephant,2024-12-06 03:32:55.850219
28,B001,date,2024-04-08 22:48:42.635445
30,B002,jam,2024-07-17 18:44:10.244014
36,C003,date,2024-04-19 13:49:50.943571
32,C003,heart,2024-03-27 20:43:48.287057
94,B001,kangaroo,2024-09-10 14:36:23.008025
96,A002,door,2024-02-13 12:05:45.630193
53,A001,elephant,2024-12-19 11:01:47.668979
